,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2023,ALABAMA,"SHARK, BLACKTIP","60,780",28,"54,465",Public,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2023,ALABAMA,"SHARK, BULL","21,394",10,"15,783",Public,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2023,ALABAMA,"SHARK, DOGFISH, SMOOTH",,,,Confidential,Commercial,Mustelus canis,160230,EXCEPTIONS
2023,ALABAMA,"SHARK, FINETOOTH",,,,Confidential,Commercial,Carcharhinus isodon,160409,EXCEPTIONS
2023,ALABAMA,"SHARK, HAMMERHEAD, GREAT",,,,Confidential,Commercial,Sphyrna mokarran,160515,EXCEPTIONS
2023,ALABAMA,"SHARK, HAMMERHEAD, SCALLOPED",,,,Confidential,Commercial,Sphyrna lewini,160508,EXCEPTIONS
2023,ALABAMA,"SHARK, SHARPNOSE, ATLANTIC","97,980",44,"77,162",Public,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2023,ALABAMA,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2023,ALABAMA,"SHARK, TIGER",,,,Confidential,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2023,ALASKA,"SHARK, DOGFISH, SPINY","16,980",8,"1,148",Public,Commercial,Squalus acanthias,160617,AKFIN
2023,CALIFORNIA,"SHARK, BLUE",409,0,370,Public,Commercial,Prionace glauca,160424,PACFIN
2023,CALIFORNIA,"SHARK, DOGFISH, SPINY","2,620",1,"2,445",Public,Commercial,Squalus acanthias,160617,PACFIN
2023,CALIFORNIA,"SHARK, LEOPARD","3,471",2,"2,963",Public,Commercial,Triakis semifasciata,160448,PACFIN
2023,CALIFORNIA,"SHARK, MAKO, SHORTFIN","27,676",13,"29,544",Public,Commercial,Isurus oxyrinchus,159924,PACFIN
2023,CALIFORNIA,"SHARK, PACIFIC ANGEL","32,791",15,"32,459",Public,Commercial,Squatina californica,160785,PACFIN
2023,CALIFORNIA,"SHARK, THRESHER","67,916",31,"54,197",Public,Commercial,Alopias vulpinus,159916,PACFIN
2023,CALIFORNIA,"SHARK, THRESHER, BIGEYE","1,760",1,"2,405",Public,Commercial,Alopias superciliosus,159921,PACFIN
2023,CALIFORNIA,"SHARK, TOPE","11,826",5,"12,592",Public,Commercial,Galeorhinus galeus,160181,PACFIN
2023,CONNECTICUT,"SHARK, DOGFISH, SMOOTH","40,977",19,"24,876",Public,Commercial,Mustelus canis,160230,EXCEPTIONS
2023,CONNECTICUT,"SHARK, DOGFISH, SPINY",830,0,266,Public,Commercial,Squalus acanthias,160617,ACCSP
